[INFO] Scanning for projects...
[INFO] 
[INFO] ----------------------< com.cs122b.team53:songs >-----------------------
[INFO] Building songs 1.0-SNAPSHOT
[INFO] --------------------------------[ war ]---------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.6.0:java (default-cli) @ songs ---
--------------------------------------------
-------------------Parsing------------------
--------------------------------------------

[Duplicate] -TrackMeta- id: 5VuxWXbt7XENQCtE9TzpTv duration: 194560 ...
[Duplicate] -TrackMeta- id: 2VdT56BGpdqNHUgOe1j5vc duration: 206453 ...
[Duplicate] -TrackMeta- id: 5lZZmityu9TAjNvSY6GLhR duration: 204360 ...
[Duplicate] -TrackMeta- id: 5ffntNJnJOeFv7b7DCd0Bw duration: 216747 ...
[Duplicate] -TrackMeta- id: 0e7ipj03S05BNilyu5bRzt duration: 218147 ...
[Duplicate] -TrackMeta- id: 09IOPhEh1OMe0HD9b36FJk duration: 246987 ...
[Duplicate] -TrackMeta- id: 3swc6WTsr7rl9DqQKQA55C duration: 221440 ...
[Duplicate] -TrackMeta- id: 7dt6x5M1jzdTEt8oCbisTK duration: 231267 ...
[Duplicate] -TrackMeta- id: 6IaieqiCVvsNvEt6Y7yOFa duration: 206267 ...
[Duplicate] -TrackMeta- id: 4qWCFTuNnmGNdY4egtb4ZY duration: 228227 ...
[Duplicate] -TrackMeta- id: 1ZemPoaj7LBj1RAQrb89EC duration: 261800 ...
[Duplicate] -TrackMeta- id: 688QpQAwqsLdBR6lr13wK1 duration: 212467 ...
[Duplicate] -TrackMeta- id: 0R6Jlsq25eZB3Wftpxi3oF duration: 112013 ...
[Duplicate] -TrackMeta- id: 1D2L6MefbXon28PzIk9I3r duration: 211427 ...
[Duplicate] -TrackMeta- id: 32lItqlMi4LBhb4k0BaSaC duration: 227533 ...
[Duplicate] -TrackMeta- id: 0MrRAUcB8AZiB9ue2VOBYe duration: 228147 ...
[Duplicate] -TrackMeta- id: 2OkJizCxI9w6iEiASlgp8x duration: 187910 ...
[Duplicate] -TrackMeta- id: 1C2JiKNMjv8FaZlrgwObBJ duration: 234000 ...
[Duplicate] -TrackMeta- id: 4FQ1Wm24y1jm4iKbrfRQfW duration: 189407 ...
[Duplicate] -TrackMeta- id: 3Zo7qbx3AaRTfQBzrcYwy8 duration: 239427 ...
[Duplicate] -TrackMeta- id: 57nmWRdN5zPzMAlkCLsuKA duration: 184800 ...
[Duplicate] -TrackMeta- id: 5QGNwI8U3o9mQg7RR3yOPj duration: 165685 ...
[Duplicate] -TrackMeta- id: 4pPQehDJIPMstBLVCzouTs duration: 159295 ...
[Duplicate] -TrackMeta- id: 331ZudrkfXoW7l8lUIEBeF duration: 172800 ...
[Duplicate] -TrackMeta- id: 5H14dJbhKeaU1ffTMmIGJi duration: 142074 ...
[Duplicate] -TrackMeta- id: 2oBeDHORDq9ZeQnuygW7jZ duration: 168378 ...
[Duplicate] -TrackMeta- id: 1h7XRTgZYY0TYDjYDnLfju duration: 141581 ...
[Duplicate] -TrackMeta- id: 6vOgKvTHr4NO9YPsZQfiDX duration: 150806 ...
[Duplicate] -TrackMeta- id: 5HCMc28iow2u67EgxHejfZ duration: 131277 ...
[Duplicate] -TrackMeta- id: 214O1Gcgv9lCWJoley3Ttg duration: 167387 ...
[Duplicate] -TrackMeta- id: 4x4uXEc4LzgBMNu1MJGz6Y duration: 163833 ...
[Duplicate] -TrackMeta- id: 10PRcEnKj8J3m13s1wvjiI duration: 174756 ...
[Duplicate] -TrackMeta- id: 09Q3a76Fao9rJuSlSIcJ9u duration: 144500 ...
[Duplicate] -TrackMeta- id: 5AciiCKJKTLKRrAPSrKQy5 duration: 149000 ...
[Duplicate] -TrackMeta- id: 0DAsxISzun85PbsqAfIzeC duration: 127920 ...
[Duplicate] -TrackMeta- id: 0sf12qNH5qcw8qpgymFOqD duration: 201573 ...
[Duplicate] -TrackMeta- id: 2kJu14V7hbZw3I4K8L8SXb duration: 193531 ...
[Duplicate] -TrackMeta- id: 7CHi4DtfK4heMlQaudCuHK duration: 168387 ...
[Duplicate] -TrackMeta- id: 6zEgnpM0qYmHLDnh8WPejL duration: 157733 ...
[Duplicate] -TrackMeta- id: 7k4t7uLgtOxPwTpFmtJNTY duration: 200960 ...
[Duplicate] -TrackMeta- id: 4wNIkl5XGiAACjFBlDWuSd duration: 180645 ...
[Duplicate] -TrackMeta- id: 7na7Bk98usp84FaOJFPv3d duration: 202887 ...
[Duplicate] -TrackMeta- id: 0PaNKfwdqHjmW7hVEQ0lbu duration: 158533 ...
[Duplicate] -TrackMeta- id: 3UZ8b8lAZiaqqH6ggZqxCR duration: 199144 ...
[Duplicate] -TrackMeta- id: 6cy3ki60hLwimwIje7tALf duration: 221714 ...
[Duplicate] -TrackMeta- id: 4evmHXcjt3bTUHD1cvny97 duration: 197867 ...
[Duplicate] -TrackMeta- id: 3DjInVTE03icrWsq2UZV9n duration: 200961 ...
[Duplicate] -TrackMeta- id: 3HVWdVOQ0ZA45FuZGSfvns duration: 219947 ...
[Duplicate] -TrackMeta- id: 4s45VgkknMFkdiGoUcjxQU duration: 239133 ...
[Duplicate] -TrackMeta- id: 4C6EPWGYM3K3IIv4xzPL2X duration: 196558 ...
[Duplicate] -TrackMeta- id: 07Oz5StQ7GRoygNLaXs2pd duration: 159011 ...
[Duplicate] -TrackMeta- id: 41L3O37CECZt3N7ziG2z7l duration: 210427 ...
[Duplicate] -TrackMeta- id: 6Qs4SXO9dwPj5GKvVOv8Ki duration: 171030 ...
[Duplicate] -TrackMeta- id: 2IHLaN6wwYKQ3S24NsQqpA duration: 203672 ...
[Duplicate] -TrackMeta- id: 1xK7enJZVdv37fnnxoZlPq duration: 180840 ...
